"family_name","species","category"
"POLYPODIACEAE","Campyloneurum decurrens","LC"
"POLYPODIACEAE","Ceradenia capillaris","VU"
"POLYPODIACEAE","Ceradenia glaziovii","EN"
"POLYPODIACEAE","Ceradenia warmingii","CR"
"POLYPODIACEAE","Grammitis fluminensis","EN"
"POLYPODIACEAE","Lellingeria brasiliensis","VU"
"POLYPODIACEAE","Lellingeria itatimensis","CR"
"POLYPODIACEAE","Lellingeria limula","CR"
"POLYPODIACEAE","Lellingeria pumila","CR"
"POLYPODIACEAE","Lellingeria suspensa","LC"
"POLYPODIACEAE","Lellingeria tamandarei","EN"
"POLYPODIACEAE","Melpomene peruviana","LC"
"POLYPODIACEAE","Microgramma crispata","LC"
"POLYPODIACEAE","Micropolypodium perpusillum","EN"
"POLYPODIACEAE","Pecluma hoehnii","CR"
"POLYPODIACEAE","Pecluma imbeana","CR"
"POLYPODIACEAE","Pecluma insularis","CR"
"POLYPODIACEAE","Pecluma truncorum","LC"
"POLYPODIACEAE","Pleopeltis alborufula","EN"
"POLYPODIACEAE","Pleopeltis monoides","EN"
"POLYPODIACEAE","Pleopeltis trindadensis","CR"
"POLYPODIACEAE","Terpsichore chrysleri","LC"
"POLYPODIACEAE","Terpsichore semihirsuta","EN"
"POLYPODIACEAE","Terpsichore senilis","CR"
"POLYPODIACEAE","Terpsichore taxifolia","EN"
"POLYPODIACEAE","Zygophlebia longipilosa","LC"
