"family_name","species","category"
"PODOSTEMACEAE","Apinagia riedelii","LC"
"PODOSTEMACEAE","Castelnavia multipartita","LC"
"PODOSTEMACEAE","Mourera fluviatilis","LC"
"PODOSTEMACEAE","Mourera weddelliana","VU"
"PODOSTEMACEAE","Podostemum distichum","LC"
"PODOSTEMACEAE","Podostemum muelleri","LC"
"PODOSTEMACEAE","Podostemum ovatum","EN"
"PODOSTEMACEAE","Podostemum rutifolium","VU"
"PODOSTEMACEAE","Podostemum saldanhanum","CR"
"PODOSTEMACEAE","Podostemum scaturiginum","LC"
"PODOSTEMACEAE","Podostemum weddellianum","LC"
