"family_name","species","category"
"PLANTAGINACEAE","Achetaria caparaoense","CR"
"PLANTAGINACEAE","Achetaria latifolia","CR"
"PLANTAGINACEAE","Angelonia alternifolia","CR"
"PLANTAGINACEAE","Angelonia crassifolia","NT"
"PLANTAGINACEAE","Angelonia eriostachys","NT"
"PLANTAGINACEAE","Angelonia integerrima","LC"
"PLANTAGINACEAE","Angelonia pratensis","EN"
"PLANTAGINACEAE","Bacopa cochlearia","EN"
"PLANTAGINACEAE","Bacopa congesta","LC"
"PLANTAGINACEAE","Ildefonsia bibracteata","CR"
"PLANTAGINACEAE","Mecardonia grandiflora","NT"
"PLANTAGINACEAE","Philcoxia minensis","EN"
"PLANTAGINACEAE","Plantago australis","LC"
"PLANTAGINACEAE","Plantago catharinea","NT"
"PLANTAGINACEAE","Plantago commersoniana","LC"
"PLANTAGINACEAE","Plantago guilleminiana","LC"
"PLANTAGINACEAE","Plantago turficola","EN"
"PLANTAGINACEAE","Stemodia harleyi","VU"
"PLANTAGINACEAE","Stemodia hyptoides","VU"
