"family_name","species","category"
"RHAMNACEAE","Colletia exserta","EN"
"RHAMNACEAE","Colletia paradoxa","EN"
"RHAMNACEAE","Colubrina glandulosa","LC"
"RHAMNACEAE","Colubrina retusa","LC"
"RHAMNACEAE","Condalia buxifolia","EN"
"RHAMNACEAE","Crumenaria choretroides","LC"
"RHAMNACEAE","Crumenaria polygaloides","LC"
"RHAMNACEAE","Discaria americana","VU"
"RHAMNACEAE","Gouania blanchetiana","LC"
"RHAMNACEAE","Gouania corylifolia","VU"
"RHAMNACEAE","Gouania inornata","EN"
"RHAMNACEAE","Gouania ulmifolia","LC"
"RHAMNACEAE","Reissekia smilacina","LC"
"RHAMNACEAE","Rhamnidium glabrum","VU"
"RHAMNACEAE","Rhamnus sphaerosperma","LC"
"RHAMNACEAE","Scutia arenicola","EN"
