"family_name","species","category"
"RUBIACEAE","Alseis involuta","VU"
"RUBIACEAE","Bathysa australis","LC"
"RUBIACEAE","Bathysa cuspidata","LC"
"RUBIACEAE","Borreria amapaensis","DD"
"RUBIACEAE","Borreria burchellii","DD"
"RUBIACEAE","Borreria gracillima","NT"
"RUBIACEAE","Borreria guimaraesensis","DD"
"RUBIACEAE","Borreria irwiniana","DD"
"RUBIACEAE","Borreria paulista","VU"
"RUBIACEAE","Borreria pulchristipula","DD"
"RUBIACEAE","Borreria remota","LC"
"RUBIACEAE","Borreria rosmarinifolia","DD"
"RUBIACEAE","Borreria tocantinsiana","DD"
"RUBIACEAE","Bradea anomala","CR"
"RUBIACEAE","Bradea bicornuta","CR"
"RUBIACEAE","Bradea borrerioides","EN"
"RUBIACEAE","Bradea kuhlmanni","DD"
"RUBIACEAE","Bradea montana","CR"
"RUBIACEAE","Carapichea ipecacuanha","VU"
"RUBIACEAE","Chomelia modesta","CR"
"RUBIACEAE","Coussarea bocainae","EN"
"RUBIACEAE","Coussarea hydrangeifolia","LC"
"RUBIACEAE","Coussarea nodosa","LC"
"RUBIACEAE","Declieuxia cordigera","LC"
"RUBIACEAE","Declieuxia fruticosa","LC"
"RUBIACEAE","Declieuxia oenanthoides","LC"
"RUBIACEAE","Diodella sarmentosa","LC"
"RUBIACEAE","Diodia macrophylla","DD"
"RUBIACEAE","Erithalis insularis","CR"
"RUBIACEAE","Faramea bahiensis","VU"
"RUBIACEAE","Faramea coerulea","NT"
"RUBIACEAE","Faramea monantha","LC"
"RUBIACEAE","Faramea paratiensis","EN"
"RUBIACEAE","Galianthe cymosa","NT"
"RUBIACEAE","Galianthe elegans","VU"
"RUBIACEAE","Galianthe macedoi","EN"
"RUBIACEAE","Galianthe matogrossiana","DD"
"RUBIACEAE","Galianthe peruviana","LC"
"RUBIACEAE","Galianthe pseudopeciolata","NT"
"RUBIACEAE","Galianthe souzae","EN"
"RUBIACEAE","Galianthe vaginata","EN"
"RUBIACEAE","Galium diphyllum","CR"
"RUBIACEAE","Galium equisetoides","LC"
"RUBIACEAE","Galium humile","LC"
"RUBIACEAE","Galium nigroramosum","LC"
"RUBIACEAE","Galium rubidiflorum","CR"
"RUBIACEAE","Galium shepherdii","CR"
"RUBIACEAE","Genipa americana","LC"
"RUBIACEAE","Genipa infundibuliformis","LC"
"RUBIACEAE","Guettarda paludosa","CR"
"RUBIACEAE","Guettarda platyphylla","DD"
"RUBIACEAE","Hillia parasitica","LC"
"RUBIACEAE","Hillia ulei","LC"
"RUBIACEAE","Hindsia glabra","EN"
"RUBIACEAE","Hindsia ibitipocensis","CR"
"RUBIACEAE","Hindsia violacea","DD"
"RUBIACEAE","Ladenbergia hexandra","LC"
"RUBIACEAE","Manettia campanulacea","CR"
"RUBIACEAE","Manettia pauciflora","EN"
"RUBIACEAE","Manettia tweedieana","NT"
"RUBIACEAE","Melanopsidium nigrum","VU"
"RUBIACEAE","Mitracarpus anthospermoides","EN"
"RUBIACEAE","Mitracarpus baturitensis","LC"
"RUBIACEAE","Mitracarpus eritrichoides","EN"
"RUBIACEAE","Mitracarpus pusillus","CR"
"RUBIACEAE","Mitracarpus rigidifolius","VU"
"RUBIACEAE","Pagamea harleyi","VU"
"RUBIACEAE","Palicourea fulgens","VU"
"RUBIACEAE","Palicourea tetraphylla","LC"
"RUBIACEAE","Palicourea veterinariorum","LC"
"RUBIACEAE","Pentodon pentandrus","LC"
"RUBIACEAE","Posoqueria latifolia","LC"
"RUBIACEAE","Posoqueria palustris","NT"
"RUBIACEAE","Psychotria capitata","LC"
"RUBIACEAE","Psychotria cupularis","LC"
"RUBIACEAE","Psychotria loefgrenii","EN"
"RUBIACEAE","Psychotria longipes","LC"
