"family_name","species","category"
"RUTACEAE","Almeidea coerulea","EN"
"RUTACEAE","Andreadoxa flava","CR"
"RUTACEAE","Balfourodendron riedelianum","NT"
"RUTACEAE","Conchocarpus bellus","CR"
"RUTACEAE","Conchocarpus cauliflorus","CR"
"RUTACEAE","Conchocarpus marginatus","CR"
"RUTACEAE","Esenbeckia hieronymi","NT"
"RUTACEAE","Esenbeckia irwiniana","EN"
"RUTACEAE","Esenbeckia leiocarpa","LC"
"RUTACEAE","Esenbeckia pilocarpoides","LC"
"RUTACEAE","Euxylophora paraensis","CR"
"RUTACEAE","Galipea carinata","CR"
"RUTACEAE","Hortia brasiliana","NT"
"RUTACEAE","Metrodorea maracasana","VU"
"RUTACEAE","Nycticalanthus speciosus","CR"
"RUTACEAE","Pilocarpus alatus","VU"
"RUTACEAE","Pilocarpus giganteus","NT"
"RUTACEAE","Pilocarpus jaborandi","EN"
"RUTACEAE","Pilocarpus microphyllus","EN"
"RUTACEAE","Pilocarpus trachylophus","EN"
"RUTACEAE","Raulinoa echinata","VU"
"RUTACEAE","Spiranthera odoratissima","LC"
"RUTACEAE","Zanthoxylum petiolare","LC"
